# Distance (mm), OD (Y Direction)
  13.84586,   0.01159
  13.94135,   0.00969
  14.03684,   0.00781
  14.13233,   0.00969
  14.22782,   0.01159
  14.32331,   0.01159
  14.41880,   0.01159
  14.51429,   0.00781
  14.60977,   0.00781
  14.70526,   0.00781
  14.80075,   0.00969
  14.89624,   0.00969
  14.99173,   0.00593
  15.08722,   0.00593
  15.18271,   0.00407
  15.27820,   0.00593
  15.37368,   0.00593
  15.46917,   0.00781
  15.56466,   0.01159
  15.66015,   0.01159
  15.75564,   0.00407
  15.85113,   0.00593
  15.94662,   0.00969
  16.04211,   0.00781
  16.13759,   0.00781
  16.23308,   0.00593
  16.32857,   0.00593
  16.42406,   0.00407
  16.51955,   0.00407
  16.61504,   0.00593
  16.71053,   0.00781
  16.80602,   0.00593
  16.90150,   0.00781
  16.99699,   0.00781
  17.09248,   0.00593
  17.18797,   0.00969
  17.28346,   0.00781
  17.37895,   0.00969
  17.47444,   0.00593
  17.56992,   0.00781
  17.66541,   0.00593
  17.76090,   0.00969
  17.85639,   0.00969
  17.95188,   0.00969
  18.04737,   0.00407
  18.14286,   0.00407
  18.23835,   0.00407
  18.33383,   0.00593
  18.42932,   0.00407
  18.52481,   0.00407
  18.62030,   0.00781
  18.71579,   0.00781
  18.81128,   0.00969
  18.90677,   0.00969
  19.00226,   0.00593
  19.09774,   0.00593
  19.19323,   0.00407
  19.28872,   0.00593
  19.38421,   0.00407
  19.47970,   0.00593
  19.57519,   0.00035
  19.67068,   0.00593
  19.76617,   0.00035
  19.86165,   0.00221
  19.95714,   0.00593
  20.05263,   0.00407
  20.14812,   0.00407
  20.24361,   0.00593
  20.33910,   0.00969
  20.43459,   0.00593
  20.53008,   0.00593
  20.62556,   0.00781
  20.72105,   0.00407
  20.81654,   0.00407
  20.91203,   0.00781
  21.00752,   0.00781
  21.10301,   0.01159
  21.19850,   0.00781
  21.29398,   0.00593
  21.38947,   0.00593
  21.48496,   0.00593
  21.58045,   0.00407
  21.67594,   0.00407
  21.77143,   0.00407
  21.86692,   0.00593
  21.96241,   0.00407
  22.05789,   0.00781
  22.15338,   0.00593
  22.24887,   0.01159
  22.34436,   0.00969
  22.43985,   0.00969
  22.53534,   0.00781
  22.63083,   0.00593
  22.72632,   0.00593
  22.82180,   0.00593
  22.91729,   0.00593
  23.01278,   0.00969
  23.10827,   0.00781
  23.20376,   0.00969
  23.29925,   0.00781
  23.39474,   0.00593
  23.49023,   0.00781
  23.58571,   0.00593
  23.68120,   0.00969
  23.77669,   0.00593
  23.87218,   0.00593
  23.96767,   0.00781
  24.06316,   0.00969
  24.15865,   0.00969
  24.25414,   0.00781
  24.34962,   0.00593
  24.44511,   0.00593
  24.54060,   0.00781
  24.63609,   0.00781
  24.73158,   0.00593
  24.82707,   0.00969
  24.92256,   0.00781
  25.01805,   0.01159
  25.11353,   0.01159
  25.20902,   0.00969
  25.30451,   0.00593
  25.40000,   0.00781
  25.49549,   0.00781
  25.59098,   0.00969
  25.68647,   0.00969
  25.78195,   0.00221
  25.87744,   0.00407
  25.97293,   0.00781
  26.06842,   0.00969
  26.16391,   0.00593
  26.25940,   0.00407
  26.35489,   0.00969
  26.45038,   0.00593
